zipcode,Median income,Median home value,Less than High School Diploma,High School Graduate,Associate degree,Bachelor degree,Master degree,Professional school degree,Doctorate degree,Unemployment rate,Population Density
10001,81671.0,650200.0,0.08,0.19,0.03,0.38,0.21,0.07,0.03,0.26,33959.0
10002,33218.0,535600.0,0.36,0.31,0.04,0.21,0.06,0.02,0.01,0.45,92573.0
10003,92540.0,817700.0,0.04,0.16,0.02,0.43,0.21,0.09,0.04,0.26,97188.0
10004,129313.0,894200.0,0.02,0.16,0.04,0.42,0.22,0.13,0.02,0.12,5519.0
10005,124670.0,1000001.0,0.023,0.083,0.007,0.478,0.239,0.129,0.041,0.1,97048.0
10006,119274.0,714300.0,0.01,0.11,0.06,0.41,0.24,0.11,0.06,0.06,32796.0
10007,216037.0,1000001.0,0.06,0.15,0.02,0.35,0.24,0.12,0.06,0.22,42751.0
10009,59929.0,672800.0,0.16,0.23,0.03,0.36,0.14,0.05,0.02,0.33,99492.0
10010,97955.0,746200.0,0.03,0.18,0.05,0.4,0.2,0.11,0.03,0.3,81487.0
10011,104238.0,914500.0,0.05,0.15,0.03,0.4,0.22,0.1,0.04,0.22,77436.0
10012,86594.0,1000001.0,0.07,0.16,0.02,0.42,0.18,0.08,0.08,0.21,74517.0
10013,83725.0,1000001.0,0.19,0.18,0.01,0.34,0.18,0.07,0.03,0.32,50154.0
10014,108483.0,947300.0,0.02,0.14,0.02,0.47,0.21,0.1,0.04,0.18,56119.0
10016,105324.0,759600.0,0.03,0.14,0.03,0.44,0.21,0.12,0.03,0.21,101814.0
10017,100652.0,637100.0,0.02,0.14,0.03,0.43,0.24,0.09,0.04,0.17,51775.0
10018,104635.0,1000001.0,0.08,0.19,0.04,0.39,0.21,0.08,0.01,0.17,16251.0
10019,84424.0,808600.0,0.08,0.19,0.03,0.37,0.21,0.09,0.03,0.23,63042.0
10021,107907.0,1000001.0,0.03,0.14,0.03,0.38,0.24,0.12,0.05,0.28,112711.0
10022,109019.0,866100.0,0.02,0.15,0.02,0.43,0.21,0.13,0.04,0.27,73158.0
10023,103534.0,872500.0,0.03,0.15,0.02,0.34,0.28,0.12,0.05,0.29,124357.0
10024,109956.0,1000001.0,0.05,0.16,0.02,0.34,0.25,0.13,0.05,0.27,69106.0
10025,68516.0,934600.0,0.1,0.19,0.03,0.29,0.24,0.08,0.06,0.34,125860.0
10026,43107.0,602400.0,0.17,0.38,0.05,0.21,0.14,0.03,0.02,0.4,102315.0
10027,37872.0,716100.0,0.18,0.33,0.05,0.2,0.16,0.03,0.06,0.43,68513.0
10028,104638.0,1000001.0,0.02,0.13,0.03,0.4,0.24,0.13,0.04,0.23,143683.0
10029,31888.0,787000.0,0.26,0.38,0.05,0.18,0.08,0.03,0.01,0.43,92116.0
10030,31925.0,509000.0,0.23,0.425,0.057,0.183,0.079,0.02,0.007,0.39,96790.0
10031,37655.0,369800.0,0.27,0.37,0.05,0.18,0.1,0.02,0.01,0.36,86722.0
10032,34568.0,334900.0,0.36,0.34,0.04,0.18,0.07,0.01,0.01,0.38,87199.0
10033,41556.0,422100.0,0.3,0.33,0.05,0.18,0.08,0.03,0.03,0.35,89201.0
10034,41171.0,354700.0,0.29,0.35,0.05,0.19,0.1,0.02,0.01,0.33,34544.0
10035,24533.0,445900.0,0.36,0.37,0.04,0.14,0.06,0.01,0.02,0.52,24329.0
10036,66599.0,810300.0,0.06,0.24,0.03,0.38,0.2,0.06,0.02,0.22,55745.0
10037,37341.0,260200.0,0.132,0.435,0.085,0.199,0.09,0.052,0.006,0.44,65973.0
10038,66074.0,616300.0,0.17,0.21,0.02,0.34,0.15,0.08,0.02,0.31,68214.0
10039,33595.0,352300.0,0.23,0.423,0.082,0.167,0.081,0.009,0.007,0.41,52965.0
10040,42721.0,317300.0,0.29,0.32,0.04,0.21,0.1,0.02,0.02,0.37,111184.0
10044,83066.0,580400.0,0.14,0.27,0.03,0.21,0.18,0.08,0.1,0.42,48251.0
10065,115519.0,1000001.0,0.02,0.16,0.03,0.39,0.22,0.13,0.06,0.26,83533.0
10069,170630.0,966600.0,0.0,0.1,0.03,0.44,0.27,0.14,0.03,0.21,49908.0
10075,102941.0,805300.0,0.02,0.14,0.03,0.43,0.22,0.12,0.04,0.27,141546.0
10128,96296.0,1000001.0,0.04,0.15,0.03,0.4,0.22,0.12,0.04,0.26,128441.0
10280,129574.0,685700.0,0.02,0.14,0.04,0.42,0.22,0.09,0.06,0.18,56710.0
10282,230952.0,1000001.0,0.02,0.06,0.06,0.38,0.33,0.11,0.05,0.23,54674.0
10301,56848.0,402300.0,0.158,0.436,0.074,0.187,0.109,0.028,0.008,0.41,10852.0
10302,56841.0,382000.0,0.191,0.538,0.061,0.141,0.05,0.012,0.007,0.42,15982.0
10303,51537.0,325100.0,0.171,0.507,0.097,0.146,0.07,0.006,0.004,0.42,8395.0
10304,53168.0,403700.0,0.19,0.46,0.06,0.16,0.08,0.03,0.01,0.41,10889.0
10305,70758.0,415300.0,0.15,0.46,0.07,0.19,0.09,0.02,0.01,0.43,9819.0
10306,75807.0,450200.0,0.1,0.52,0.08,0.18,0.09,0.02,0.01,0.42,7481.0
10307,86457.0,567400.0,0.084,0.49,0.107,0.183,0.106,0.023,0.008,0.36,7184.0
10308,88075.0,452600.0,0.088,0.563,0.071,0.16,0.101,0.015,0.002,0.37,13864.0
10309,86297.0,539100.0,0.09,0.53,0.07,0.18,0.1,0.02,0.01,0.38,4840.0
10310,61925.0,414600.0,0.118,0.517,0.089,0.148,0.09,0.031,0.006,0.4,13903.0
10312,85324.0,467300.0,0.086,0.524,0.073,0.205,0.091,0.015,0.006,0.38,7723.0
10314,77242.0,437500.0,0.1,0.52,0.07,0.18,0.1,0.02,0.01,0.4,6235.0
10451,26754.0,170600.0,0.375,0.43,0.051,0.093,0.04,0.008,0.003,0.46,45043.0
10452,25979.0,402800.0,0.365,0.45,0.076,0.076,0.024,0.008,0.0,0.42,76548.0
10453,25470.0,445200.0,0.346,0.449,0.084,0.084,0.024,0.01,0.004,0.41,85491.0
10454,20232.0,386000.0,0.447,0.411,0.05,0.068,0.017,0.004,0.002,0.48,35820.0
10455,22609.0,318600.0,0.438,0.43,0.045,0.072,0.012,0.002,0.001,0.48,55696.0
10456,23452.0,388600.0,0.396,0.454,0.049,0.076,0.02,0.005,0.001,0.46,84979.0
10457,24949.0,397500.0,0.382,0.441,0.059,0.084,0.025,0.007,0.002,0.46,66425.0
10458,24618.0,330300.0,0.365,0.456,0.062,0.077,0.031,0.008,0.002,0.41,78784.0
10459,24461.0,343900.0,0.425,0.404,0.064,0.076,0.023,0.004,0.004,0.47,57907.0
10460,22307.0,391700.0,0.402,0.421,0.066,0.086,0.022,0.002,0.001,0.47,43567.0
10461,52347.0,454700.0,0.2,0.48,0.07,0.16,0.07,0.01,0.01,0.4,21045.0
10462,45864.0,271300.0,0.235,0.434,0.092,0.157,0.062,0.014,0.006,0.38,51207.0
10463,54258.0,289700.0,0.2,0.38,0.06,0.18,0.12,0.04,0.03,0.37,47002.0
10464,70078.0,484000.0,0.07,0.43,0.07,0.18,0.2,0.03,0.02,0.36,1295.0
10465,65450.0,437800.0,0.2,0.49,0.07,0.15,0.06,0.01,0.01,0.4,12313.0
10466,44012.0,391300.0,0.214,0.494,0.083,0.146,0.054,0.007,0.002,0.38,33601.0
10467,36048.0,369500.0,0.272,0.474,0.07,0.127,0.042,0.01,0.006,0.41,41649.0
10468,33776.0,171200.0,0.318,0.479,0.045,0.113,0.035,0.009,0.002,0.38,70778.0
10469,57776.0,427100.0,0.197,0.457,0.092,0.162,0.073,0.011,0.008,0.41,26903.0
10470,58600.0,401200.0,0.16,0.5,0.06,0.16,0.09,0.02,0.01,0.34,10734.0
10471,71798.0,360800.0,0.08,0.33,0.05,0.26,0.17,0.07,0.04,0.38,8878.0
10472,30288.0,429600.0,0.391,0.436,0.057,0.088,0.023,0.003,0.001,0.44,63167.0
10473,35866.0,386600.0,0.258,0.485,0.086,0.123,0.042,0.005,0.001,0.47,26846.0
10474,25676.0,351800.0,0.374,0.423,0.104,0.078,0.018,0.004,0.0,0.46,8010.0
10475,43629.0,76000.0,0.162,0.515,0.086,0.151,0.076,0.008,0.002,0.45,23753.0
11004,81709.0,432500.0,0.11,0.36,0.08,0.26,0.12,0.05,0.02,0.39,14752.0
11005,64300.0,403700.0,0.02,0.4,0.03,0.25,0.2,0.09,0.01,0.75,9898.0
11101,47142.0,654900.0,0.21,0.37,0.06,0.24,0.09,0.02,0.01,0.33,9744.0
11102,49924.0,597700.0,0.18,0.35,0.06,0.28,0.09,0.03,0.01,0.29,42255.0
11103,55129.0,648900.0,0.172,0.327,0.086,0.282,0.114,0.013,0.006,0.28,54537.0
11104,56059.0,421800.0,0.124,0.37,0.096,0.272,0.107,0.026,0.006,0.28,69826.0
11105,57525.0,658700.0,0.158,0.349,0.065,0.283,0.117,0.021,0.007,0.3,22481.0
11106,48720.0,433600.0,0.19,0.35,0.07,0.23,0.11,0.03,0.02,0.32,45359.0
11109,125871.0,428600.0,0.0,0.14,0.02,0.38,0.26,0.14,0.04,0.14,87802.0
11201,95369.0,669000.0,0.08,0.2,0.03,0.33,0.21,0.12,0.04,0.28,35981.0
11203,48400.0,426100.0,0.15,0.56,0.089,0.134,0.055,0.008,0.005,0.4,35502.0
11204,45472.0,657500.0,0.277,0.432,0.056,0.148,0.066,0.015,0.005,0.43,49173.0
11205,44688.0,636900.0,0.2,0.36,0.04,0.22,0.13,0.03,0.01,0.38,42508.0
11206,28559.0,533400.0,0.346,0.414,0.05,0.138,0.04,0.008,0.004,0.43,56939.0
11207,32945.0,403800.0,0.296,0.5,0.073,0.09,0.033,0.004,0.003,0.45,34965.0
11208,35079.0,441100.0,0.239,0.605,0.053,0.074,0.024,0.001,0.002,0.48,27333.0
11209,58261.0,625600.0,0.13,0.38,0.05,0.26,0.13,0.04,0.02,0.38,31845.0
11210,55429.0,485500.0,0.11,0.5,0.06,0.21,0.09,0.02,0.01,0.38,37785.0
11211,46848.0,655500.0,0.21,0.35,0.03,0.27,0.1,0.03,0.01,0.34,39209.0
11212,28348.0,391700.0,0.25,0.576,0.072,0.075,0.022,0.004,0.001,0.48,54944.0
11213,34794.0,582300.0,0.212,0.524,0.064,0.127,0.059,0.01,0.004,0.43,58448.0
11214,43398.0,598800.0,0.283,0.433,0.058,0.155,0.054,0.011,0.006,0.46,40566.0
11215,95654.0,913200.0,0.08,0.19,0.03,0.35,0.23,0.08,0.03,0.21,29148.0
11216,43996.0,623300.0,0.18,0.41,0.06,0.21,0.11,0.01,0.01,0.36,58065.0
11217,81862.0,857000.0,0.13,0.21,0.04,0.32,0.2,0.08,0.02,0.25,47796.0
11218,52445.0,546300.0,0.2,0.34,0.07,0.22,0.13,0.03,0.02,0.35,52664.0
11219,34316.0,726700.0,0.345,0.444,0.045,0.113,0.041,0.008,0.004,0.43,62225.0
11220,37580.0,615300.0,0.49,0.282,0.043,0.127,0.044,0.008,0.006,0.38,55603.0
11221,39178.0,543800.0,0.309,0.442,0.061,0.129,0.047,0.008,0.004,0.42,57033.0
11222,63739.0,726500.0,0.1,0.32,0.08,0.31,0.15,0.03,0.01,0.25,24232.0
11223,41328.0,613000.0,0.232,0.464,0.062,0.159,0.064,0.012,0.007,0.47,37956.0
11224,27481.0,317800.0,0.221,0.421,0.066,0.192,0.077,0.015,0.007,0.54,30841.0
11225,42922.0,615700.0,0.169,0.484,0.061,0.181,0.082,0.016,0.006,0.37,64295.0
11226,40734.0,480500.0,0.202,0.528,0.051,0.145,0.058,0.011,0.004,0.37,78775.0
11228,61893.0,681700.0,0.22,0.44,0.06,0.17,0.08,0.03,0.01,0.42,28428.0
11229,51725.0,524100.0,0.16,0.42,0.07,0.23,0.09,0.02,0.01,0.42,36934.0
11230,42170.0,598000.0,0.16,0.38,0.09,0.22,0.11,0.02,0.02,0.41,46966.0
11231,78174.0,912000.0,0.14,0.24,0.04,0.33,0.19,0.05,0.02,0.28,23441.0
11232,43595.0,582900.0,0.36,0.37,0.04,0.13,0.08,0.01,0.01,0.34,22028.0
11233,34492.0,551900.0,0.233,0.504,0.07,0.133,0.045,0.01,0.005,0.45,49746.0
11234,68431.0,488200.0,0.11,0.48,0.1,0.19,0.09,0.02,0.01,0.36,11627.0
11235,41639.0,531000.0,0.1,0.37,0.1,0.28,0.09,0.03,0.01,0.46,35237.0
11236,61061.0,478700.0,0.154,0.499,0.098,0.161,0.074,0.011,0.002,0.35,26112.0
11237,40372.0,464500.0,0.51,0.279,0.035,0.124,0.044,0.006,0.001,0.38,50927.0
11238,65315.0,656800.0,0.1,0.29,0.05,0.31,0.18,0.05,0.02,0.26,44555.0
11239,26275.0,354600.0,0.198,0.493,0.092,0.116,0.09,0.007,0.003,0.56,23470.0
11354,46566.0,380600.0,0.208,0.428,0.088,0.196,0.061,0.015,0.004,0.41,25324.0
11355,41884.0,507500.0,0.278,0.356,0.1,0.177,0.065,0.018,0.007,0.42,49492.0
11356,58465.0,562900.0,0.203,0.488,0.066,0.18,0.054,0.007,0.002,0.35,14915.0
11357,71978.0,590800.0,0.13,0.45,0.08,0.22,0.08,0.03,0.01,0.4,13973.0
11358,65722.0,625200.0,0.16,0.4,0.07,0.23,0.1,0.02,0.01,0.39,19260.0
11360,76183.0,524000.0,0.07,0.39,0.07,0.25,0.15,0.06,0.02,0.41,13251.0
11361,75335.0,574200.0,0.12,0.4,0.07,0.25,0.12,0.02,0.02,0.35,16269.0
11362,82332.0,538000.0,0.09,0.33,0.05,0.31,0.15,0.04,0.02,0.34,7081.0
11363,90799.0,714200.0,0.06,0.3,0.1,0.33,0.13,0.06,0.02,0.34,8045.0
11364,72909.0,510800.0,0.11,0.38,0.07,0.26,0.14,0.03,0.01,0.37,14013.0
11365,55492.0,580300.0,0.14,0.4,0.1,0.21,0.1,0.03,0.01,0.39,16923.0
11366,71350.0,610100.0,0.13,0.35,0.07,0.28,0.13,0.02,0.02,0.39,12362.0
11367,56608.0,376400.0,0.13,0.36,0.09,0.25,0.13,0.03,0.01,0.38,17252.0
11368,45964.0,480900.0,0.398,0.424,0.06,0.086,0.02,0.01,0.003,0.32,41768.0
11369,53617.0,464500.0,0.256,0.522,0.056,0.112,0.042,0.011,0.001,0.36,36170.0
11370,52500.0,517100.0,0.313,0.424,0.069,0.124,0.05,0.017,0.004,0.51,27899.0
11372,48683.0,265500.0,0.25,0.39,0.07,0.19,0.08,0.01,0.01,0.33,90360.0
11373,47667.0,499600.0,0.302,0.365,0.077,0.185,0.051,0.014,0.007,0.37,66007.0
11374,52532.0,297300.0,0.09,0.33,0.09,0.3,0.12,0.04,0.02,0.36,46664.0
11375,72000.0,358300.0,0.07,0.29,0.07,0.3,0.18,0.05,0.03,0.35,34707.0
11377,49886.0,395800.0,0.251,0.371,0.092,0.202,0.067,0.012,0.006,0.34,35274.0
11378,57474.0,538600.0,0.177,0.52,0.081,0.153,0.053,0.011,0.005,0.37,13697.0
11379,69843.0,543800.0,0.158,0.473,0.065,0.191,0.089,0.016,0.007,0.4,16785.0
11385,50799.0,495800.0,0.225,0.524,0.055,0.132,0.052,0.007,0.004,0.39,27290.0
11411,83099.0,387900.0,0.1,0.51,0.08,0.2,0.09,0.01,0.01,0.36,15875.0
11412,70672.0,385700.0,0.132,0.54,0.113,0.15,0.058,0.004,0.003,0.35,21186.0
11413,78667.0,406200.0,0.142,0.504,0.094,0.167,0.077,0.009,0.006,0.33,12553.0
11414,66790.0,501700.0,0.172,0.495,0.082,0.165,0.068,0.01,0.007,0.4,11370.0
11415,63549.0,289800.0,0.11,0.33,0.11,0.25,0.16,0.03,0.02,0.32,34042.0
11416,56724.0,447200.0,0.26,0.44,0.08,0.15,0.05,0.01,0.01,0.37,37347.0
11417,62086.0,442900.0,0.211,0.498,0.082,0.138,0.056,0.012,0.003,0.35,25886.0
11418,60691.0,427000.0,0.239,0.434,0.069,0.161,0.078,0.013,0.005,0.34,22201.0
11419,56735.0,442900.0,0.266,0.503,0.053,0.136,0.037,0.005,0.001,0.37,41805.0
11420,59832.0,421200.0,0.223,0.519,0.071,0.138,0.039,0.008,0.002,0.35,21345.0
11421,60897.0,414700.0,0.236,0.478,0.073,0.148,0.055,0.007,0.003,0.34,30376.0
11422,84824.0,413800.0,0.1,0.49,0.1,0.21,0.07,0.02,0.01,0.28,15456.0
11423,60892.0,422200.0,0.217,0.452,0.069,0.172,0.058,0.024,0.008,0.37,21254.0
11426,82301.0,460500.0,0.11,0.44,0.08,0.23,0.12,0.02,0.01,0.33,13039.0
11427,70108.0,458400.0,0.142,0.421,0.091,0.24,0.084,0.015,0.007,0.37,14967.0
11428,69330.0,407700.0,0.193,0.463,0.107,0.172,0.055,0.007,0.004,0.34,23021.0
11429,68890.0,384700.0,0.161,0.544,0.095,0.133,0.055,0.008,0.003,0.36,19296.0
11432,50450.0,519000.0,0.23,0.35,0.08,0.21,0.1,0.03,0.01,0.38,28295.0
11433,42887.0,379700.0,0.251,0.516,0.071,0.107,0.048,0.005,0.002,0.39,21062.0
11434,59229.0,371900.0,0.149,0.554,0.087,0.138,0.063,0.008,0.002,0.35,18256.0
11435,53041.0,338100.0,0.23,0.41,0.08,0.18,0.07,0.02,0.01,0.35,35447.0
11436,62114.0,365500.0,0.193,0.562,0.071,0.117,0.052,0.003,0.002,0.36,22783.0
11691,39409.0,448200.0,0.269,0.452,0.064,0.135,0.059,0.013,0.008,0.44,21185.0
11692,43354.0,355800.0,0.243,0.486,0.078,0.13,0.041,0.019,0.002,0.44,18566.0
11693,50570.0,323100.0,0.19,0.498,0.074,0.172,0.04,0.018,0.008,0.44,11950.0
11694,76944.0,623200.0,0.121,0.419,0.084,0.198,0.126,0.044,0.007,0.41,14944.0
11697,87636.0,525600.0,0.055,0.435,0.068,0.249,0.15,0.036,0.007,0.45,1838.0
